City,State,Country
Stuttgart,Baden-Wuerttemberg,Germany
Karlsruhe,Baden-Wuerttemberg,Germany
Mannheim,Baden-Wuerttemberg,Germany
Freiburg,Baden-Wuerttemberg,Germany
Ulm,Baden-Wuerttemberg,Germany
Heidelberg,Baden-Wuerttemberg,Germany
Heilbronn,Baden-Wuerttemberg,Germany
Pforzheim,Baden-Wuerttemberg,Germany
Baden-Baden,Baden-Wuerttemberg,Germany
Konstanz,Baden-Wuerttemberg,Germany
Reutlingen,Baden-Wuerttemberg,Germany
Esslingen,Baden-Wuerttemberg,Germany
Ludwigsburg,Baden-Wuerttemberg,Germany
Tuebingen,Baden-Wuerttemberg,Germany
Villingen Schwenningen,Baden-Wuerttemberg,Germany
Langenau,Baden-Wuerttemberg,Germany
Muenchen,Bayern,Germany
Nuernburg,Bayern,Germany
Ingolstadt,Bayern,Germany
Augsburg,Bayern,Germany
Regensburg,Bayern,Germany
Erlangen,Bayern,Germany
Wuerzberg,Bayern,Germany
Anschaffenburg,Bayern,Germany
Schweinfurt,Bayern,Germany
Bamberg,Bayern,Germany
Fuerth,Bayern,Germany
Bayreuth,Bayern,Germany
Landschut,Bayern,Germany
Coburg,Bayern,Germany
Passau,Bayern,Germany
Kempten,Bayern,Germany
Rosenheim,Bayern,Germany
Memmingen,Bayern,Germany
Amberg,Bayern,Germany
Straubing,Bayern,Germany
Ansbach,Bayern,Germany
Weiden in der Oberpfalz,Bayern,Germany
Hof,Bayern,Germany
Kaufbeuren,Bayern,Germany
Schwabach,Bayern,Germany
Berlin,Berlin,Germany
Potsdam,Brandenburg,Germany
Cottbus,Brandenburg,Germany
Brandenburg an der Havel,Brandenburg,Germany
Frankfurt an der Oder,Brandenburg,Germany
Bremen,Bremen,Germany
Bremerhaven,Bremen,Germany
Hamburg,Hamburg,Germany
Frankfurt am Main,Hessen,Germany
Wiesbaden,Hessen,Germany
Darmstadt,Hessen,Germany
Kassel,Hessen,Germany
Offenbach am Main,Hessen,Germany
Rostock,Mecklenburg-Vorpommern,Germany
Schwerin,Mecklenburg-Vorpommern,Germany
Hannover,Niedersachsen,Germany
Braunschweig,Niedersachsen,Germany
Wolfsburg,Niedersachsen,Germany
Osnabrueck,Niedersachsen,Germany
Oldenburg,Niedersachsen,Germany
Salzgitter,Niedersachsen,Germany
Wilheimshaven,Niedersachsen,Germany
Emden,Niedersachsen,Germany
Delmenhorst,Niedersachsen,Germany
Auhagen,Niedersachsen,Germany
Celle,Niedersachsen,Germany
Damme,Niedersachsen,Germany
Hilter am Teutoburger,Niedersachsen,Germany
Leer,Niedersachsen,Germany
Koeln,Nordrhein-Westfalen,Germany
Dusseldorf,Nordrhein-Westfalen,Germany
Bonn,Nordrhein-Westfalen,Germany
Essen,Nordrhein-Westfalen,Germany
Dortmund,Nordrhein-Westfalen,Germany
Aachen,Nordrhein-Westfalen,Germany
Muenster,Nordrhein-Westfalen,Germany
Duisburg,Nordrhein-Westfalen,Germany
Bielefeld,Nordrhein-Westfalen,Germany
Bochum,Nordrhein-Westfalen,Germany
Wuppertal,Nordrhein-Westfalen,Germany
Krefeld,Nordrhein-Westfalen,Germany
Moenchengladbach,Nordrhein-Westfalen,Germany
Gelsenkirchen,Nordrhein-Westfalen,Germany
Leverkusen,Nordrhein-Westfalen,Germany
Hagen,Nordrhein-Westfalen,Germany
Muelheim an der Ruhr,Nordrhein-Westfalen,Germany
Oberhausen,Nordrhein-Westfalen,Germany
Hamm,Nordrhein-Westfalen,Germany
Solingen,Nordrhein-Westfalen,Germany
Herne,Nordrhein-Westfalen,Germany
Remscheid,Nordrhein-Westfalen,Germany
Bottrop,Nordrhein-Westfalen,Germany
Mainz,Rheinland-Pfalz,Germany
Ludwigshafen am Rhein,Rheinland-Pfalz,Germany
Koblenz,Rheinland-Pfalz,Germany
Kaiserslautern,Rheinland-Pfalz,Germany
Trier,Rheinland-Pfalz,Germany
Worms,Rheinland-Pfalz,Germany
Speyer,Rheinland-Pfalz,Germany
Landau in der Pfalz,Rheinland-Pfalz,Germany
Frankenthal,Rheinland-Pfalz,Germany
Zweibruecken,Rheinland-Pfalz,Germany
Neustadt an der Weinstrasse,Rheinland-Pfalz,Germany
Pirmasens,Rheinland-Pfalz,Germany
Saarbruecken,Saarland,Germany
Dresden,Sachsen,Germany
Leipzeig,Sachsen,Germany
Chemnitz,Sachsen,Germany
Magdeburg,Sachsen-Anhalt,Germany
Halle an der Saale,Sachsen-Anhalt,Germany
Dessau-Rosslau,Sachsen-Anhalt,Germany
Kiel,Schleswig-Holstein,Germany
Luebeck,Schleswig-Holstein,Germany
Flensburg,Schleswig-Holstein,Germany
Neumuenster,Schleswig-Holstein,Germany
Erfurt,Thueringen,Germany
Jena,Thueringen,Germany
Gera,Thueringen,Germany
Weimar,Thueringen,Germany
Eisenach,Thueringen,Germany
Suhl,Thueringen,Germany
